,casos_totales,log1p_casos,tasa_100k,temp_mean,prec_total,ndvi_mean,oni_anom,oni_total,Flujo_in,poblacion
casos_totales,1.0,1.0,0.9499602685819309,0.09869884370399232,0.011995491246957148,-0.02926509727244626,0.1417793315929574,0.12912295313887728,0.5088126456641755,0.40508093723190164
log1p_casos,1.0,1.0,0.9499602685819309,0.09869884370399232,0.011995491246957148,-0.02926509727244626,0.1417793315929574,0.12912295313887728,0.5088126456641755,0.40508093723190164
tasa_100k,0.9499602685819309,0.9499602685819309,1.0,0.08270876559256721,0.02398381154079783,0.013334352687730028,0.15592288595834317,0.14320010008353345,0.3783041377665547,0.2214660472722022
temp_mean,0.09869884370399232,0.09869884370399232,0.08270876559256721,1.0,-0.04613758658788716,-0.03458710796859481,0.057496373341470716,0.07705725896030245,0.04678470906536124,0.10964467972682393
prec_total,0.011995491246957148,0.011995491246957148,0.02398381154079783,-0.04613758658788716,1.0,0.04791164518119249,-0.12161602439714236,-0.037516153484241345,-0.09400595271767791,-0.037887866290053626
ndvi_mean,-0.02926509727244626,-0.02926509727244626,0.013334352687730028,-0.03458710796859481,0.04791164518119249,1.0,0.009123814411974117,-0.022896655176764962,-0.12198194506504881,-0.13021717062348917
oni_anom,0.1417793315929574,0.1417793315929574,0.15592288595834317,0.057496373341470716,-0.12161602439714236,0.009123814411974117,1.0,0.9017735963954565,0.26324732907235926,0.0
oni_total,0.12912295313887728,0.12912295313887728,0.14320010008353345,0.07705725896030245,-0.037516153484241345,-0.022896655176764962,0.9017735963954565,1.0,0.22933322315574073,0.0
Flujo_in,0.5088126456641755,0.5088126456641755,0.3783041377665547,0.04678470906536124,-0.09400595271767791,-0.12198194506504881,0.26324732907235926,0.22933322315574073,1.0,0.721694945700987
poblacion,0.40508093723190164,0.40508093723190164,0.2214660472722022,0.10964467972682393,-0.037887866290053626,-0.13021717062348917,0.0,0.0,0.721694945700987,1.0
