,tipo_pandas,n,n_no_nulos,faltantes_%,ceros_%,min,q05,q25,media,mediana,q75,q95,max,std,skewness,kurtosis,valores_unicos
casos_totales,int64,813280,813280,0.0,77.612,0.0,0.0,0.0,1.844,0.0,0.0,6.0,1426.0,15.241,33.37,1811.974,543
casos_0_4,int64,813280,813280,0.0,94.056,0.0,0.0,0.0,0.162,0.0,0.0,1.0,95.0,1.339,23.651,884.311,85
casos_5_14,int64,813280,813280,0.0,87.469,0.0,0.0,0.0,0.616,0.0,0.0,2.0,421.0,5.097,28.436,1326.234,240
casos_15_64,int64,813280,813280,0.0,82.441,0.0,0.0,0.0,0.979,0.0,0.0,3.0,839.0,8.787,37.289,2115.489,381
casos_65_plus,int64,813280,813280,0.0,95.851,0.0,0.0,0.0,0.087,0.0,0.0,0.0,107.0,0.862,40.416,2810.526,71
casos_m,int64,813280,813280,0.0,82.498,0.0,0.0,0.0,0.957,0.0,0.0,3.0,707.0,7.628,31.599,1629.764,346
casos_f,int64,813280,813280,0.0,84.357,0.0,0.0,0.0,0.887,0.0,0.0,3.0,748.0,7.697,34.736,1964.508,344
estrato_1_2,int64,813280,813280,0.0,90.311,0.0,0.0,0.0,0.729,0.0,0.0,2.0,658.0,7.435,34.398,1826.326,343
estrato_3_4,int64,813280,813280,0.0,98.454,0.0,0.0,0.0,0.132,0.0,0.0,0.0,684.0,3.943,93.154,11576.116,199
estrato_5_plus,int64,813280,813280,0.0,99.676,0.0,0.0,0.0,0.01,0.0,0.0,0.0,93.0,0.423,110.776,16173.295,50
temp_mean,float64,813280,179678,77.907,0.0,2.583,12.712,18.086,22.389,23.7,27.132,29.364,34.389,5.569,-0.572,-0.55,41618
prec_total,float64,813280,532030,34.582,16.063,0.0,0.0,5.0,43.83,25.3,62.0,150.3,1053.0,55.414,2.646,12.451,5055
ndvi_mean,float64,813280,812498,0.096,0.0,0.066,0.39,0.55,0.624,0.645,0.717,0.788,0.886,0.123,-0.779,0.352,187020
oni_anom,float64,813280,813280,0.0,0.512,-1.64,-1.08,-0.6,0.052,-0.14,0.57,1.92,2.75,0.9,0.82,0.514,131
oni_total,float64,813280,813280,0.0,0.0,25.02,25.58,26.3,27.053,27.1,27.75,28.82,29.26,1.009,0.129,-0.746,140
poblacion,int64,813280,813280,0.0,0.0,766.0,2593.6,6679.25,41809.759,12383.5,25478.0,116769.9,7149540.0,250308.589,23.314,632.236,1024
Flujo_in,float64,813280,812498,0.096,0.256,0.0,0.041,0.143,1.841,0.351,0.931,5.191,1337.56,13.269,37.529,2215.192,804723
