Variable,r_Pearson,ρ_Spearman,N válidos
casos_roll4,0.9714667190432236,0.7462549030493594,"293,656"
casos_roll12,0.9192960724202307,0.7308487526488305,"293,656"
casos_lag1,0.9811630754949976,0.7114124196249695,"293,656"
casos_lag2,0.9692226752192625,0.696722943440897,"293,280"
casos_lag4,0.9398109369246775,0.6714139934030676,"292,528"
oni_lag12,0.08175567755358844,0.1643683389247499,"289,520"
oni_lag8,0.0750665441319726,0.1605099599512043,"291,024"
temp_lag8,0.0523899690887732,0.11146901886226486,"291,024"
temp_lag4,0.05047708325637456,0.1047476433234924,"292,528"
prec_acum4,-0.011109751865390299,0.018284676764831344,"293,656"
prec_lag4,-0.008366326889701287,0.016320003544327576,"292,528"
prec_lag8,-0.010448899553492938,0.008317119210190562,"291,024"
